dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_daily/D/short,Lingjiang,331589.9271,331589.9271,176.5032931,3.261506635,0.039373714,0.031576714,130.4602654,575.8384557,0.088951127,0.027264881,0.027264881,Econ/Fin,1
us_births/W/short,Lingjiang,4926780.983,4926780.983,1620.081473,1.472719685,0.021859846,0.021904478,58.90878738,2219.635327,0.030131332,0.021992447,0.021992447,Healthcare,1
kdd_cup_2018/D/short,Lingjiang,2742.720805,2742.720805,20.18182227,1.148881139,0.534454374,0.44235616,45.95524555,52.37099202,1.173165863,0.452094261,0.452094261,Nature,1
bitbrains_rnd/5T/short,Lingjiang,1563034.521,1563034.521,171.7924192,9.471485986,2.640436108,0.766948461,378.8594394,1250.21379,5.115513928,0.702924988,0.702924988,Web/CloudOps,2
bitbrains_rnd/5T/medium,Lingjiang,2115303.454,2115303.454,228.3728982,15.57718051,4.156968848,0.812938991,623.0872205,1454.408283,6.119437108,0.960881208,0.960881208,Web/CloudOps,2
bitbrains_rnd/5T/long,Lingjiang,2793160.472,2793160.472,276.6171838,20.07605899,5.973897872,0.806352239,803.0423596,1671.275104,6.402278546,1.059658136,1.059658136,Web/CloudOps,2
jena_weather/D/short,Lingjiang,427.6749223,427.6749223,11.70474306,3.139750836,3.915999248,0.492048165,125.5900334,20.68030276,0.124529223,0.070481684,0.070481684,Nature,21
bizitobs_service/10S/short,Lingjiang,55503.45755,55503.45755,82.44800424,3.553379594,0.587053331,0.181477147,142.1351837,235.5917179,0.174533881,0.061080119,0.061080119,Web/CloudOps,2
bizitobs_service/10S/medium,Lingjiang,153198.7979,153198.7979,145.5003088,6.230578844,1.209188238,0.320306154,249.2231538,391.4061802,0.294581515,0.109506961,0.109506961,Web/CloudOps,2
bizitobs_service/10S/long,Lingjiang,217325.8271,217325.8271,165.1344158,6.94368015,1.673428843,0.366394311,277.747206,466.1821823,0.345362664,0.122336854,0.122336854,Web/CloudOps,2
us_births/D/short,Lingjiang,2768055.571,2768055.571,1241.804712,1.827580139,0.122571399,0.120236605,73.10320557,1663.747448,0.155962823,0.116409115,0.116409115,Healthcare,1
bitbrains_fast_storage/5T/short,Lingjiang,2108433.047,2108433.047,248.7122475,3.547717558,4.332396285,0.805229778,141.9087023,1452.044437,4.55906042,0.780894947,0.780894947,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Lingjiang,3241430.592,3241430.592,334.7803259,10.71759182,6.624595074,0.847590508,428.7036727,1800.397343,5.470104218,1.017155063,1.017155063,Web/CloudOps,2
bitbrains_fast_storage/5T/long,Lingjiang,4658729.319,4658729.319,444.6845926,13.25502532,7.507413694,0.864011202,530.2010129,2158.408979,5.70403043,1.175168596,1.175168596,Web/CloudOps,2
hierarchical_sales/D/short,Lingjiang,37.71514202,37.71514202,2.747456494,0.873472888,0.890436265,0.997668281,34.93891552,6.141265506,1.884072247,0.842889226,0.842889226,Sales,1
bizitobs_l2c/5T/short,Lingjiang,36.78574198,36.78574198,4.174807108,0.441778645,0.220746073,0.257645476,17.67114582,6.065125059,0.208300944,0.143379774,0.143379774,Web/CloudOps,7
