dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_yearly/A/short,TimeCopilot,4208871.815741128,4208871.815741128,1010.910936873178,3.888188868922098,0.1835835463803872,0.1687864003554149,32.74533867803543,2051.553512765662,0.3289761158104224,0.1621042548358817,0.1294591256953563,Econ/Fin,1
m4_quarterly/Q/short,TimeCopilot,1861908.9716377887,1861908.9716377887,595.6596766636371,1.3212731592043376,0.1188092252840994,0.1072062181473107,9.58320770007134,1364.517853176641,0.2283962598449484,0.0997029404735933,0.0787399603025537,Econ/Fin,1
m4_monthly/M/short,TimeCopilot,1941666.4759626216,1941666.4759626216,587.4193242920703,0.992934410565318,0.1705416317550141,0.1387560906795214,8.120019219963858,1393.436929309189,0.28960402974021,0.1220859013307427,0.0967459800559417,Econ/Fin,1
m4_weekly/W/short,TimeCopilot,304646.4926513002,304646.4926513002,272.4440725607307,2.1001147377185,0.0655132776512277,0.0653989090465896,14.953147197758588,551.9479075522438,0.1005563550321304,0.0496350878623871,0.0388426840774093,Econ/Fin,1
m4_daily/D/short,TimeCopilot,339660.79501941416,339660.79501941416,180.97843748165687,3.410489917042385,0.0395085010486282,0.0310040592829509,29.307193347701965,582.8042510306648,0.0900271502511467,0.0279561670227446,0.0223116797981767,Econ/Fin,1
m4_hourly/H/short,TimeCopilot,524954.10817021,524954.10817021,171.82326690154375,0.7706233412968566,0.0912051413921246,0.0818318907111256,6.3723306183586015,724.5371682461915,0.0989153159696496,0.0234576685384462,0.0193328475966307,Econ/Fin,1
electricity/15T/short,TimeCopilot,151009.2185274338,151009.2185274338,56.61546663541818,1.0584644196925137,0.1673964987414938,0.1757201307820008,11.40825023563569,388.5990459682496,0.766005321169062,0.111600244913476,0.0924337203744175,Energy,1
electricity/H/short,TimeCopilot,1625470.9663607306,1625470.9663607306,173.63875595318578,0.9445283559815032,0.1850095202789404,0.1266785670399844,10.965349810240992,1274.939593220295,0.6018625391814524,0.0819698934083031,0.0668268918397401,Energy,1
electricity/D/short,TimeCopilot,1524727850.2334847,1524727850.2334847,4499.245042665888,1.440678272205953,0.4645618045851292,0.0966410120059837,12.834644251743407,39047.76370336059,0.6416844660376455,0.0739375415890234,0.0591240047703936,Energy,1
electricity/W/short,TimeCopilot,107538242197.20187,107538242197.20187,37600.97314072858,1.731413766670026,0.2579633973676443,0.1083506011356826,14.50780880240442,327930.23983341624,0.7482285899661988,0.0857930123453573,0.0667798023145311,Energy,1
solar/10T/short,TimeCopilot,27.24892377764872,27.24892377764872,2.378006966259878,1.0505715113645349,3.4210851134341405,1.5918319064210218,4.508536801063111,5.2200501700317705,1.5185120291659178,0.6917619689628381,0.5077658379230758,Energy,1
solar/H/short,TimeCopilot,659.9567727325225,659.9567727325225,10.368725871971089,0.7996956660754997,3.3920387408800736,1.398975364381254,7.548931352585399,25.689623834001974,0.9469280785839052,0.382194684155454,0.3117904456590773,Energy,1
solar/D/short,TimeCopilot,125866.4929895851,125866.4929895851,253.13198455998497,0.9872057092459324,1.0797759311803388,0.4284607224409668,6.238664324840403,354.7766804478348,0.5125314647574201,0.3656894998276473,0.2872018924750267,Energy,1
solar/W/short,TimeCopilot,1348124.5480815065,1348124.5480815065,934.246138134142,1.0178505807998526,0.2077722813767061,0.1845538236489491,5.979179324857676,1161.0876573633475,0.2370070194919315,0.1907029940993756,0.1484664387553441,Energy,1
hospital/M/short,TimeCopilot,2908.3396358532555,2908.3396358532555,18.55949724881041,0.7798974698104213,0.1918066912745793,0.1761693015233185,5.251147372408516,53.92902405804555,0.195774880414239,0.0673752847914217,0.0529398612868036,Healthcare,1
covid_deaths/D/short,TimeCopilot,683203.3235435126,683203.3235435126,123.05835295103329,34.38262143232607,0.0891866497388241,0.3651155130761072,585.3302636000165,826.5611432577222,0.3109976526598306,0.046301304168642,0.0394855918185296,Healthcare,1
us_births/D/short,TimeCopilot,195114.15537626744,195114.15537626744,274.3993636067708,0.4038139053701383,0.0262962687231841,0.025846322311671,4.150256571072779,441.7172799158614,0.0414074106631264,0.0257227137157287,0.0213319129099562,Healthcare,1
us_births/M/short,TimeCopilot,81372043.76497395,81372043.76497395,7473.096354166667,0.8427784924069014,0.02294957067664,0.0233201502709241,4.542482907186801,9020.64541842622,0.0280180631676483,0.0232113863251144,0.0171916281354551,Healthcare,1
us_births/W/short,TimeCopilot,3309825.666670663,3309825.666670663,1350.247907366071,1.2273411952942834,0.0180909590033902,0.0182124756432147,9.375108623321603,1819.292628103204,0.0246967190368072,0.0183294829447113,0.0146125351543498,Healthcare,1
saugeen/D/short,TimeCopilot,1350.1767921390351,1350.1767921390351,13.578996993700663,3.017412246735102,0.2945186519735365,0.3381408161271264,44.3771975879136,36.74475189927176,1.190171269021097,0.4398269480313645,0.3758806057524924,Nature,1
saugeen/M/short,TimeCopilot,402.1315480732868,402.1315480732868,12.827814573333375,0.7516726001427814,0.3835155888529804,0.3696029572855505,6.452525792510636,20.053217898214907,0.6020577603946569,0.3851294765747559,0.3053685922627424,Nature,1
saugeen/W/short,TimeCopilot,1188.771119779659,1188.771119779659,16.004309606552123,1.2985654533191504,0.3771862082685798,0.4056451972601779,14.143459388159318,34.47856029157336,1.0407640121972903,0.4831033934625676,0.4017461788808135,Nature,1
temperature_rain/D/short,TimeCopilot,172.84589088882612,172.84589088882612,5.690968262597378,1.329354786151759,28.23893063539611,1.4921973717873052,20.160673384342687,13.147086783345811,1.5477597169526005,0.6699774309287958,0.5439475176876,Nature,1
kdd_cup_2018/H/short,TimeCopilot,4062.4779847188897,4062.4779847188897,20.480178734790616,0.8616459031733725,0.7792248697868767,0.4569235767972537,7.456057861756592,63.73757121760202,1.334142792044846,0.4286872297899118,0.3476365368258818,Nature,1
kdd_cup_2018/D/short,TimeCopilot,2806.392915042132,2806.392915042132,20.651221516354063,1.1720349651780184,0.5342432330567164,0.454346968795786,9.671998096586076,52.97539914943663,1.186705210611965,0.4626092973802523,0.3721230913159204,Nature,1
car_parts/M/short,TimeCopilot,1.3944985371303251,1.3944985371303251,0.4601047288939888,0.8277407819169432,0.8074556971925223,1.895373104789929,15.759363077256392,1.1808888758601823,2.831650388212677,1.1032839421424192,0.9497286228477376,Sales,1
restaurant/D/short,TimeCopilot,146.2636063982368,146.2636063982368,7.367976427367725,0.7043412881788105,0.7247356264999066,0.402722738788297,4.9338596056814135,12.09394916469541,0.5565915619579526,0.3390913466173199,0.2671417966057537,Sales,1
hierarchical_sales/D/short,TimeCopilot,27.93154911370736,27.93154911370736,2.2822688005103853,0.7417091758407094,0.6222577983869355,1.0205722742182668,7.988893691905033,5.285030663459519,1.6213888793654423,0.7001747933942881,0.5712055217154575,Sales,1
