dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,Chronos-2,4145797.488463595,4145797.488463595,357.97367393467607,0.8711999929238592,3.7828414394588368,0.8360760492923797,15.432955463966756,2036.1231515955992,5.380865066630999,0.946017452499958,0.7026061445524241,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Chronos-2,2854813.8535229373,2854813.8535229373,267.82598383026493,0.9588490240362445,3.4515445017801873,0.8189011494265185,20.728725080171767,1689.6194404430062,5.133530703852618,0.8137293395024578,0.6233457308991365,Web/CloudOps,2
bitbrains_fast_storage/5T/short,Chronos-2,1828932.7515211524,1828932.7515211524,159.031559686963,0.6563897676548155,1.9940338153085935,0.7430846129850146,13.074593783884868,1352.3804019288184,4.246139955221287,0.499319761484916,0.3906378769842435,Web/CloudOps,2
bitbrains_fast_storage/H/short,Chronos-2,3005434.042481728,3005434.042481728,299.2353117583048,0.9309593597654008,2.7620977169722725,0.5810333336412573,18.11250242174507,1733.6187708033528,4.941376627389847,0.8529178389819855,0.6635224677367416,Web/CloudOps,2
bitbrains_rnd/5T/long,Chronos-2,2314407.0498213544,2314407.0498213544,165.33585963632635,3.2753978851024095,1.2795751991636328,0.7092483613458547,115.21846073163633,1521.3175374724879,5.8278244831833454,0.6333644009242041,0.8730126297517127,Web/CloudOps,2
bitbrains_rnd/5T/medium,Chronos-2,2303161.976669191,2303161.976669191,157.1222612676236,4.359229717604128,0.8530047134127788,0.7383417746560365,159.03573459737711,1517.617203602144,6.385389278797625,0.6610934563586716,1.004565433626743,Web/CloudOps,2
bitbrains_rnd/5T/short,Chronos-2,1786863.6929437863,1786863.6929437863,125.62732040874121,1.618136938121414,1.025217456216353,0.671741078144912,51.66287752931445,1336.7362091840657,5.469538473681133,0.514030709724316,0.415745145404104,Web/CloudOps,2
bitbrains_rnd/H/short,Chronos-2,2064867.4331017432,2064867.4331017432,161.80485699671794,5.804742667777643,1.6657797654211588,0.5561468700716082,208.00435712396174,1436.9646596565078,6.288860980407804,0.7081372842185025,0.8035454819748182,Web/CloudOps,2
bizitobs_application/10S/long,Chronos-2,5508385.564444444,5508385.564444444,1444.5294444444444,2.9496631708273595,0.04264470418294271,0.043645833333333335,21.627569590086416,2346.995007332662,0.09051421622566853,0.0557097267230176,0.04539597373122299,Web/CloudOps,2
bizitobs_application/10S/medium,Chronos-2,2196085.12,2196085.12,830.188125,1.8026079477842636,0.02545076847076416,0.02595753033955892,17.99670644890125,1481.9194040162913,0.05819061344630824,0.032599044279103956,0.025662633137848945,Web/CloudOps,2
bizitobs_application/10S/short,Chronos-2,347597.08444444445,347597.08444444445,322.35493055555554,1.003902166736118,0.01409513579474555,0.014232810338338215,6.047178036464015,589.5736463279583,0.022737498945655292,0.012431941182046274,0.009567255598719189,Web/CloudOps,2
bizitobs_l2c/5T/long,Chronos-2,96.63757936507936,96.63757936507936,6.570953621031746,0.6471512945825063,0.550500069975595,0.811466548859127,5.148691017725035,9.830441463387052,0.5519645916327948,0.36894922222762233,0.2977954916750903,Web/CloudOps,7
bizitobs_l2c/5T/medium,Chronos-2,81.7203762755102,81.7203762755102,5.994177163052721,0.5826103672409443,0.44157504104487144,0.6657834007626489,4.4808924084573665,9.03993231586997,0.47563337777660464,0.3153818669691863,0.24720505695342634,Web/CloudOps,7
bizitobs_l2c/5T/short,Chronos-2,18.978057570684523,18.978057570684523,2.549083310081845,0.26651688823943137,0.14929786712825943,0.20394537789481026,2.299294813002909,4.356381247168861,0.14961576532832183,0.08754583877878035,0.06914039860435806,Web/CloudOps,7
bizitobs_l2c/H/long,Chronos-2,85.68464781746032,85.68464781746032,5.357755921378968,0.5712635894958724,0.6297144659223869,0.7843813941592261,5.135881343364576,9.256600229968901,0.5654198582399772,0.3272671951136721,0.2672670630808577,Web/CloudOps,7
